Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Register-login-logout,Chrome 67.0.3396.99,,2018-07-02 14:38:30,2018-07-02 14:39:57,1m - 27.350s,FAILED
,,,,,,
Test Cases/Registration/Verify -account registration,Chrome 67.0.3396.99,,2018-07-02 14:38:31,2018-07-02 14:39:07,36.153s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-02 14:38:32,2018-07-02 14:38:49,16.425s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-02 14:38:49,2018-07-02 14:38:50,1.228s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 14:38:50,2018-07-02 14:38:54,4.161s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 14:38:54,2018-07-02 14:38:54,0.207s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 14:38:54,2018-07-02 14:38:55,0.500s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 14:38:55,2018-07-02 14:38:55,0.366s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 14:38:55,2018-07-02 14:38:56,0.244s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 14:38:56,2018-07-02 14:38:56,0.265s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 14:38:56,2018-07-02 14:38:56,0.140s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 14:38:56,2018-07-02 14:38:57,0.525s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-02 14:38:57,2018-07-02 14:38:59,2.038s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 14:38:59,2018-07-02 14:38:59,0.327s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-02 14:38:59,2018-07-02 14:39:01,2.006s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 14:39:01,2018-07-02 14:39:02,0.798s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 14:39:02,2018-07-02 14:39:02,0.538s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 14:39:02,2018-07-02 14:39:05,2.329s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-02 14:39:05,2018-07-02 14:39:07,2.883s,FAILED
,,,,,,
Test Cases/Login/verify-login,Chrome 67.0.3396.99,,2018-07-02 14:39:08,2018-07-02 14:39:26,17.562s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-02 14:39:08,2018-07-02 14:39:19,10.425s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-02 14:39:19,2018-07-02 14:39:20,1.143s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 14:39:20,2018-07-02 14:39:22,1.654s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 14:39:22,2018-07-02 14:39:22,0.354s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-02 14:39:22,2018-07-02 14:39:24,2.004s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 14:39:24,2018-07-02 14:39:24,0.309s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 14:39:24,2018-07-02 14:39:26,1.236s,PASSED
,,,,,,
Test Cases/logout/Verify-logout,Chrome 67.0.3396.99,,2018-07-02 14:39:26,2018-07-02 14:39:57,31.461s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-02 14:39:26,2018-07-02 14:39:45,19.445s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-02 14:39:45,2018-07-02 14:39:50,5.006s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 14:39:50,2018-07-02 14:39:52,1.232s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-02 14:39:52,2018-07-02 14:39:55,3.004s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-02 14:39:55,2018-07-02 14:39:57,2.470s,PASSED
